Primary,Secondary,Tertiary
Acer_nigrum,Acer_rubrum,Abies_balsamea
Acer_saccharum,Betula_lenta,Acer_saccharinum
Betula_alleghaniensis,Carya_ovata,Acer_negundo
Betula_papyrifera,Carya_laciniosa,Amelanchier_canadensis
Juglans_nigra,Carya_cordiformis,Betula_nigra
Picea_rubens,Carya_tomentosa,Catalpa_speciosa
Pinus_strobus,Carya_glabra,Celtis_occidentalis
Prunus_serotina,Fraxinus_pennsylvanica,Chamaecyparis_thyoides
Quercus_alba,Fraxinus_nigra,Fagus_grandifolia
Quercus_rubra,Fraxinus_americana,Gleditsia_triacanthos
,Juglans_cinerea,Juniperus_virginiana
,Larix_laricina,Magnolia_acuminata
,Liriodendron_tulipifera,Nyssa_sylvatica
,Picea_glauca,Pinus_virginiana
,Picea_mariana,Pinus_sylvestris
,Picea_pungens,Pinus_rigida
,Picea_abies,Platanus_occidentalis
,Pinus_banksiana,Populus_balsamifera
,Pinus_resinosa,Populus_heterophylla
,Pseudotsuga_menziesii,Populus_tremuloides
,Quercus_velutina,Populus_grandidentata
,Quercus_prinus,Populus_deltoides
,Quercus_bicolor,Quercus_stellata
,Quercus_macrocarpa,Quercus_palustris
,Quercus_michauxii,Robinia_pseudoacacia
,Quercus_muehlenbergii,Salix_nigra
,Quercus_coccinea,Sassafras_albidum
,Taxodium_distichum,Ulmus_americana
,Thuja_occidentalis,Ulmus_thomasii
,Tilia_americana,Acer_platanoides
,Tsuga_canadensis,Acer_pensylvanicum
,,Acer_spicatum
,,Amelanchier_arborea
,,Asimina_triloba
,,Betula_populifolia
,,Carpinus_caroliniana
,,Castanea_dentata
,,Cornus_florida
,,Ilex_opaca
,,Liquidambar_styraciflua
,,Magnolia_fraseri
,,Morus_rubra
,,Morus_alba
,,Ostrya_virginiana
,,Pinus_pungens
,,Prunus_pensylvanica
,,Prunus_americana
,,Prunus_virginiana
,,Salix_alba
,,Salix_sepulcralis
,,Salix_amygdaloides
,,Salix_bebbiana
,,Sorbus_decora
,,Sorbus_americana
,,Sorbus_aucuparia
,,Ulmus_rubra
,,Ailanthus_altissima
,,Alnus_glutinosa
,,Pinus_nigra
,,Ulmus_pumila
